회사명 : (주) 슬림팩 / 2026/01/01  ~ 2026/01/31 ,,,,,,,,,,
일자-No.,거래처명,품목명(요약),금액합계,거래유형명,창고명,프로젝트명,주문번호,회계반영여부,인쇄,불러온전표
2026/01/31 -16,AS-엑스라이더,페달 세트 외 4건,"100,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260131-0000124,V,인쇄,조회
2026/01/31 -15,전동핫플 금정점,개인결제건,"20,100,000",부가세율 적용,기타,대리점-XRB-기타판매,20260131-0000106 카드결제,V,인쇄,조회
2026/01/31 -14,승리모터스,개인결제건,"14,300,000",부가세율 적용,기타,대리점-XRB-기타판매,20260131-0000099 카드결제,V,인쇄,조회
2026/01/31 -13,아이노휠,개인결제건,"7,000,000",부가세율 적용,기타,대리점-XRB-기타판매,20260131-0000083 현금결제,V,인쇄,조회
2026/01/31 -12,바이시클로,개인결제건,"4,300,000",부가세율 적용,기타,대리점-XRB-기타판매,20260131-0000073 현금결제,V,인쇄,조회
2026/01/31 -11,모빌리티 그라운드,방향지시등 세트 외 1건,"120,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260131-0000069,V,인쇄,조회
2026/01/31 -10,와이제이(YJ) 모터스,컬러 윈드실드 블랙 [색상=블랙] 외 2건,"172,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260131-0000021,V,인쇄,조회
2026/01/31 -9,뉴바이크,개인결제건,"1,000,000",부가세율 적용,기타,대리점-XRB-기타판매,20260131-0000038 카드결제,V,인쇄,조회
2026/01/31 -8,뉴바이크,개인결제건,"1,000,000",부가세율 적용,기타,대리점-XRB-기타판매,20260131-0000044 카드결제,V,인쇄,조회
2026/01/31 -7,뉴바이크,개인결제건,"500,000",부가세율 적용,기타,대리점-XRB-기타판매,20260131-0000054 카드결제,V,인쇄,조회
2026/01/31 -6,두발이모빌리티,개인결제건,"14,300,000",부가세율 적용,기타,대리점-XRB-기타판매,20260131-0000015 현금결제,V,인쇄,조회
2026/01/31 -5,씨제이그룹 주식회사,개인결제건,"42,900,000",부가세율 적용,기타,대리점-XRB-기타판매,20260130-0000154 카드결제,V,인쇄,조회
2026/01/31 -4,전주 전기자전거 백프로 모빌리티,개인결제건,"3,200,000",부가세율 적용,기타,대리점-XRB-기타판매,20260130-0000161 카드결제,V,인쇄,조회
2026/01/31 -3,주식회사 온컴퍼니,개인결제건,"14,300,000",부가세율 적용,기타,대리점-XRB-기타판매,20260130-0000179 현금결제,V,인쇄,조회
2026/01/31 -2,지티아이에스(GTIS),26년 1차 프리오더 잔금,"2,996,000",부가세율 적용,기타,대리점-XRB-기타판매,26년 1차 프리오더 잔금,V,인쇄,조회
2026/01/31 -1,주식회사 109모빌리티,니어바이크 계약건 1월 결제건,"23,668,000",부가세율 적용,기타,대리점-NB-기타판매,니어바이크 계약건 1월 결제건,V,인쇄,조회
2026/01/30 -10,AS-엑스라이더,듀얼 배터리 스위치(셀렉터) - 48V [기종선택=48V(X200맥스/X100맥스/X200프로/X200S고급형/X200)] 외 1건,"80,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260130-0000148,V,인쇄,조회
2026/01/30 -9,바이크스테이션(BBMTB원주),개인결제건,"1,500,000",부가세율 적용,기타,대리점-XRB-기타판매,20260130-0000131 카드결제,V,인쇄,조회
2026/01/30 -8,바이크스테이션(BBMTB원주),개인결제건,"6,500,000",부가세율 적용,기타,대리점-XRB-기타판매,20260130-0000125 카드결제,V,인쇄,조회
2026/01/30 -7,와이제이(YJ) 모터스,방향지시등 세트 외 1건,"109,100",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260130-0000091,V,인쇄,조회
2026/01/30 -6,카페24-엑스라이더,이너튜브 20x4.0 1개 외 1건,,부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260130-0000019 전호균,V,인쇄,조회
2026/01/30 -5,카페24-엑스라이더,KTX 배터리 거치대(배터리 트레이) - X200프로/X200/X200S고급(XT60) [기종=X200프로/X200/X200S고급(XT60)] 외 1건,"45,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260130-0000024 조찬우,V,인쇄,조회
2026/01/30 -4,뉴바이크,개인결제건,"500,000",부가세율 적용,기타,대리점-XRB-기타판매,20260130-0000086 카드결제,V,인쇄,조회
2026/01/30 -3,뉴바이크,개인결제건,"500,000",부가세율 적용,기타,대리점-XRB-기타판매,20260130-0000107 카드결제,V,인쇄,조회
2026/01/30 -2,뉴바이크,개인결제건,"300,000",부가세율 적용,기타,대리점-XRB-기타판매,20260130-0000117 카드결제,V,인쇄,조회
2026/01/30 -1,뉴바이크,개인결제건,"5,000,000",부가세율 적용,기타,대리점-XRB-기타판매,"20260130-0000041,51,61,77 카드결제",V,인쇄,조회
2026/01/29 -14,AS-엑스라이더,듀얼 배터리 스위치(셀렉터) - 48V [기종선택=48V(X200맥스/X100맥스/X200프로/X200S고급형/X200)] 외 15건,"719,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260129-0000114,V,인쇄,조회
2026/01/29 -13,전동핫플 금정점,키박스 디스플레이 스로틀 [기종을 적어주세요=x200] 외 1건,"127,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260129-0000104,V,인쇄,조회
2026/01/29 -12,이프로 모빌리티,개인결제건,"2,000,000",부가세율 적용,기타,대리점-XRB-기타판매,20260129-0000098 현금결제,V,인쇄,조회
2026/01/29 -11,바이시클스토리지,개인결제건,"14,300,000",부가세율 적용,기타,대리점-XRB-기타판매,20260129-0000070 현금결제,V,인쇄,조회
2026/01/29 -10,코지모빌리티,KTET 프론트 브레이크 래버 외 2건,"77,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260128-0000137,V,인쇄,조회
2026/01/29 -9,카페24-엑스라이더,이너튜브 20x4.5 & 4.8 1개 외 1건,"20,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260128-0000150 차용옥 차민재,V,인쇄,조회
2026/01/29 -8,카페24-엑스라이더,리어 브레이크 세트 XRB - X200/X200고급형(S)/X200T/NewX100 외 1건,"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260128-0000166 정경훈,V,인쇄,조회
2026/01/29 -7,카페24-엑스라이더,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01 [기종=1. 오토바이 브레이크패드 XRB-01] 외 1건,"35,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260129-0000012 백광희,V,인쇄,조회
2026/01/29 -6,AS-엑스라이더,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01 [기종=1. 오토바이 브레이크패드 XRB-01],,부가세율 적용,본사창고-청담본점,AS-XRB,20260129-0000034 홍원정,V,인쇄,조회
2026/01/29 -5,스마트스토어(네이버)-니어바이크,레트로 Retro - 매트 블랙 [색상: 매트블랙],"1,590,000",부가세율 적용,본사창고-청담본점,일반-NB-온라인판매,"2026012979546671 송영아, 화이살",V,인쇄,조회
2026/01/29 -4,바이시클스토리지,H 핸들 롱타입 - 블랙 [색상=블랙] 외 1건,"61,000",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260129-0000054,V,인쇄,조회
2026/01/29 -3,에코바이크,개인결제건,"12,300,000",부가세율 적용,기타,대리점-XRB-기타판매,20260129-0000047 현금결제,V,인쇄,조회
2026/01/29 -2,109모빌리티 안양점,개인결제건,"2,000,000",부가세율 적용,기타,대리점-XRB-기타판매,20260129-0000021 카드결제,V,인쇄,조회
2026/01/28 -7,AS-엑스라이더,키박스 디스플레이 스로틀 [기종을 적어주세요=터보프로] 외 5건,"140,000",부가세율 적용,본사창고-청담본점,AS-XRB,20260128-0000124,V,인쇄,조회
2026/01/28 -6,바이시클로,개인결제건,"10,000,000",부가세율 적용,기타,대리점-XRB-기타판매,20260128-0000084 카드결제(부분),V,인쇄,조회
2026/01/28 -5,전동연구소,개인결제건 외 1건,"10,495,000",부가세율 적용,기타,대리점-XRB-기타판매,20260128-0000078 카드결제,V,인쇄,조회
2026/01/28 -4,109모빌리티&킥플 평택점,60V 25Ah 점보 배터리 - 무광블랙 [색상=무광 블랙(기본)기타주문사항=],"758,500",부가세율 적용,본사창고-청담본점,대리점-XRB-온라인판매,20260127-0000127,V,인쇄,조회
2026/01/28 -3,카페24-엑스라이더,불렛 헤드라이트 - X200맥스/X100맥스/X200듀오/X200프로/터보프로/X100프로,"100,000",부가세율 적용,본사창고-청담본점,일반-XRB-온라인판매,20260128-0000021 정윤기,V,인쇄,조회
