회사명 : (주) 슬림팩 / 2025/01/01  ~ 2025/12/31 ,,,,,,,,,,
일자-No.,품목명(규격),수량,단가,공급가액,부가세,합계,거래처명,창고명,프로젝트명,주문번호
2025/11/30 -1,"레트로 Retro - 매트 블랙(오병호, 니어공홈)",1,"1,445,455","1,445,455","144,545","1,590,000",카페24-니어바이크,형동창고-경기도 광주,일반-NB-온라인판매,20251130-0000024
2025/11/30 -2,[레트로/레트로 미니] 리어렉(짐받이),1,"72,727","72,727","7,273","80,000",질주 모빌리티 동래점,본사창고-청담본점,대리점-NB-온라인판매,20251130-0000032
2025/12/01 -2,카고 Cargo - 그레이,1,"1,081,818","1,081,818","108,182","1,190,000",에이벡,인천창고-위스테이블,대리점-NB-온라인판매,20251201-0000034
2025/12/01 -3,스로틀 스위치,1,"20,455","20,455","2,045","22,500",전동휠랜드,본사창고-청담본점,대리점-NB-온라인판매,20251201-0000021
2025/12/01 -3,48V 6A 고속충전기(3핀),1,"89,091","89,091","8,909","98,000",전동휠랜드,본사창고-청담본점,대리점-NB-온라인판매,20251201-0000021
2025/12/01 -3,[레트로/레트로 미니] 리어렉(짐받이),1,"54,545","54,545","5,455","60,000",전동휠랜드,본사창고-청담본점,대리점-NB-온라인판매,20251201-0000021
2025/12/01 -4,레트로 Retro - 매트 블랙,1,"1,127,273","1,127,273","112,727","1,240,000",전동휠랜드,형동창고-경기도 광주,대리점-NB-온라인판매,20251201-0000021
2025/12/02 -1,카고 Cargo - 그레이-109계약건,5,,,,,주식회사 109모빌리티,인천창고-위스테이블,대리점-NB-일반판매,20251202-0000014 109계약건
2025/12/03 -1,레트로 Retro - 샌드 베이지,1,"1,127,273","1,127,273","112,727","1,240,000",이지모빌리티,형동창고-경기도 광주,대리점-NB-온라인판매,20251203-0000013
2025/12/04 -1,[레트로/레트로 미니] 리어렉(짐받이),1,"72,727","72,727","7,273","80,000",카페24-니어바이크,본사창고-청담본점,일반-NB-온라인판매,20251204-0000029 오병호
2025/12/04 -1,배송비,1,"4,545","4,545",455,"5,000",카페24-니어바이크,본사창고-청담본점,일반-NB-온라인판매,20251204-0000029 오병호
2025/12/04 -2,레트로 Retro - 매트 블랙,1,"1,445,455","1,445,455","144,545","1,590,000",스마트스토어(네이버)-니어바이크,본사창고-청담본점,일반-NB-온라인판매,2025120373746161 김연직
2025/12/05 -1,이너튜브 20x4.5 & 4.8 1개,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251205-0000104
2025/12/05 -1,리어 튜브 교체-공임,1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251205-0000104
2025/12/05 -1,Vee XRB 타이어 20x4.5,1,"109,091","109,091","10,909","120,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251205-0000104
2025/12/05 -2,클래식 Classic - 로얄 네이비,1,"718,182","718,182","71,818","790,000",바이시클로,형동창고-경기도 광주,대리점-NB-온라인판매,20251205-0000017
2025/12/05 -2,클래식 Classic - 어반 그린,1,"718,182","718,182","71,818","790,000",바이시클로,형동창고-경기도 광주,대리점-NB-온라인판매,20251205-0000017
2025/12/05 -2,택배비,1,"4,545","4,545",455,"5,000",바이시클로,형동창고-경기도 광주,대리점-NB-온라인판매,20251205-0000017
2025/12/05 -3,[클래식] 리어렉(짐받이) - 블랙,1,"54,545","54,545","5,455","60,000",바이시클로,본사창고-청담본점,대리점-NB-온라인판매,20251205-0000017
2025/12/06 -1,접이식 풋페그(동승자용발판) - 신형,1,"36,364","36,364","3,636","40,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251206-0000013
2025/12/06 -1,KTX 배터리 거치대(배터리 트레이) - X200프로/X200/X200S고급(XT60),1,"36,364","36,364","3,636","40,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251206-0000013
2025/12/06 -1,택배비,1,"4,545","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251206-0000013
2025/12/06 -3,KTET 프론트 브레이크 래버,1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251206-0000033
2025/12/06 -3,디스크 로터 텍트로 - 180E 1.8mm X200프로/X100프로/X50,2,"18,182","36,364","3,636","40,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251206-0000033
2025/12/06 -3,이너튜브 20x4.5 & 4.8 1개,1,"13,636","13,636","1,364","15,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251206-0000033
2025/12/06 -3,브레이크 래버 교체-공임,1,"18,182","18,182","1,818","20,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251206-0000033
2025/12/06 -3,XRB 타이어 20x4.5,1,"109,091","109,091","10,909","120,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251206-0000033
2025/12/06 -3,패드 교체-공임,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251206-0000033
2025/12/06 -3,듀얼 배터리 스위치(셀렉터) - 48V,1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251206-0000033
2025/12/07 -1,수납가방 - X200맥스,1,"109,091","109,091","10,909","120,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251207-0000032
2025/12/07 -2,52T 크랭크 세트,1,"36,364","36,364","3,636","40,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251207-0000015
2025/12/07 -2,체인 - X50,1,"13,636","13,636","1,364","15,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251207-0000015
2025/12/07 -2,택배비,1,"4,545","4,545",455,"5,000",카페24-엑스라이더,본사창고-청담본점,일반-XRB-온라인판매,20251207-0000015
2025/12/07 -3,브레이크 패드 - 5. 페스트에이스 브레이크 패드,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251207-0000027
2025/12/07 -3,브레이크 패드 - 1. 오토바이 KTET 브레이크패드 XRB-01,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251207-0000027
2025/12/07 -3,소프트 롱시트 - X200맥스/X200프로/X200/X200S고급,1,,,,,AS-엑스라이더,본사창고-청담본점,AS-XRB,20251207-0000027
2025/12/07 -3,유성기어 - X200맥스/X100프로/X200프로/X50,1,"45,455","45,455","4,545","50,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251207-0000027
2025/12/07 -3,기본점검-공임,1,"27,273","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251207-0000027
2025/12/07 -3,패드 교체-공임,2,"13,636","27,273","2,727","30,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251207-0000027
2025/12/07 -3,유성기어 교체-공임,1,"90,909","90,909","9,091","100,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251207-0000027
2025/12/07 -3,시트 교체-공임,1,"9,091","9,091",909,"10,000",AS-엑스라이더,본사창고-청담본점,AS-XRB,20251207-0000027
2025/12/07 -5,컬러 킥스탠드 블랙,1,"21,818","21,818","2,182","24,000",두발이모빌리티,본사창고-청담본점,대리점-XRB-온라인판매,20251207-0000040
